user_id;sex;age;qn1;qn2;qn3;qn4;qn5;qn6;qn7;qn8;qn9;qn10;qn11;qn12;qn13;qn14;qn15;qn16;qn17;qn18;qn19;qn20;qn21;qn22;qn23;qn24;qn25;qn26;qn27;qn28;qn29;qn30;qn31;qn32;qn33;qn34;qn35;qn36;qn37;qn38;qn39;qn40;qn41;qn42;qn43;qn44;qn45;qn46;qn47;qn48;qn49;qn50;qn51;qn52;qn53;qn54;qn55;qn56;qn57;qn58;qn59;qn60;Charcteristic;Neuroticism;Extraversion;Openness;Agreeableness;Conscientiousness
2492334241;2;2;4;5;2;1;5;5;5;5;2;3;2;4;1;1;3;2;5;3;2;2;4;2;1;1;4;1;3;4;5;2;4;3;2;4;4;3;5;5;3;4;2;5;1;3;4;1;1;5;1;4;1;5;1;5;4;4;5;2;4;2;2;23;52;48;48;47
1888355307;1;2;2;2;5;3;4;2;2;4;2;2;2;1;3;1;4;2;4;5;1;4;1;5;5;1;5;5;1;5;4;2;1;5;2;4;4;5;1;5;5;3;4;1;1;3;4;5;5;5;5;5;2;2;1;3;3;5;2;2;5;2;1;48;20;44;47;44
1164286974;2;2;5;3;3;4;4;5;5;5;5;5;1;3;1;3;2;3;5;4;5;2;5;3;1;2;5;2;4;4;4;3;5;4;2;5;4;2;5;5;3;4;1;5;1;4;5;1;1;5;1;4;1;5;2;4;4;2;5;1;4;2;2;17;49;47;36;48
2171849432;2;2;5;5;3;3;5;4;4;5;4;4;2;2;1;4;4;2;5;3;3;2;2;1;1;3;4;1;5;4;4;3;2;3;2;5;4;2;4;5;5;4;2;5;1;2;4;3;3;4;1;4;2;5;2;4;4;1;5;1;2;1;2;26;49;46;40;49
5340139955;2;2;5;4;3;2;3;3;5;4;2;4;3;4;3;3;4;4;3;4;3;4;3;4;3;2;3;4;3;2;3;4;3;2;3;4;3;2;3;5;4;3;3;4;3;2;3;4;3;2;3;4;4;4;3;3;3;4;3;3;4;3;4;38;39;39;43;37
1634703487;1;2;2;2;2;4;4;2;4;5;4;2;4;5;4;2;4;3;4;2;2;4;2;4;2;2;5;4;2;5;5;4;2;2;1;4;4;5;4;5;4;2;5;5;2;4;4;3;4;5;4;5;4;2;2;3;2;4;4;2;3;2;1;48;38;41;39;40
1876503811;2;2;3;2;4;4;4;3;2;3;4;5;2;3;5;3;3;2;3;3;1;3;3;1;3;2;5;5;4;5;4;4;3;4;1;3;4;3;3;4;3;3;4;3;2;1;5;3;3;5;2;4;4;3;1;3;3;4;3;1;4;4;5;39;38;37;42;43
1507800613;2;2;3;2;2;2;4;3;3;3;4;2;3;2;2;2;3;2;4;2;3;4;2;4;4;2;5;4;5;5;5;4;2;4;2;3;4;4;2;4;3;2;4;3;2;2;4;4;4;4;2;3;4;3;2;3;2;3;5;1;3;2;3;42;37;43;42;37
1639379033;2;2;2;5;3;2;5;3;4;5;5;5;2;3;1;1;5;1;5;2;1;1;3;2;4;1;5;4;2;4;5;4;2;5;3;5;5;4;3;5;5;4;4;5;1;4;5;3;5;5;1;3;3;4;2;3;5;3;3;2;4;2;5;38;43;50;49;53
1295995517;1;2;2;4;4;2;4;4;2;5;4;4;2;2;1;2;4;2;4;2;2;2;3;2;2;1;5;2;4;4;5;2;4;2;4;4;5;2;2;1;4;2;2;4;1;2;4;2;2;4;1;4;2;4;1;4;4;2;4;2;4;2;5;27;40;43;47;48
3162589741;1;2;3;4;2;3;4;2;5;4;4;2;3;2;1;3;2;3;4;3;3;2;2;2;4;3;3;1;2;4;4;4;2;4;4;4;3;4;4;4;3;2;2;2;3;3;4;2;2;3;4;4;3;2;3;4;4;4;4;3;2;4;3;37;40;43;34;36
1288194595;1;2;4;4;2;2;4;3;4;5;2;3;2;1;1;3;2;1;5;2;2;1;4;1;1;1;4;3;5;5;4;3;3;4;5;4;4;5;4;3;5;2;5;3;1;1;5;5;2;5;2;4;4;5;1;3;3;4;5;3;3;2;2;39;48;47;48;43
3163838777;1;2;4;4;5;4;4;2;2;4;2;3;4;1;2;4;2;1;4;5;1;2;2;2;2;1;4;5;2;5;5;5;1;3;2;4;5;4;5;5;5;2;5;2;1;2;4;5;4;4;1;4;4;4;1;2;3;5;5;2;4;4;4;48;35;41;49;38
2277693053;2;2;4;3;3;3;3;4;4;5;2;4;2;3;2;2;3;2;3;2;2;4;2;2;4;1;4;2;3;3;4;2;3;2;2;4;4;3;4;2;3;2;3;3;2;2;4;3;3;2;2;3;2;3;3;3;3;4;5;2;3;3;4;32;41;39;45;39
